direction	spBLEU	chrF++	len_ratio
arb_Arab-bos_Latn	27.69	48.65	0.971
sat_Beng-tso_Latn	8.10	31.98	1.120
tgl_Latn-ajp_Arab	23.99	40.82	1.021
nso_Latn-lit_Latn	20.23	40.51	0.942
tam_Taml-awa_Deva	13.48	31.23	1.070
kmb_Latn-tgk_Cyrl	10.70	26.64	0.865
szl_Latn-kas_Arab	12.83	27.38	1.010
kik_Latn-cym_Latn	17.26	34.15	1.062
ace_Latn-azj_Latn	12.96	30.89	0.889
bel_Cyrl-lit_Latn	20.26	43.04	1.028
ltz_Latn-aka_Latn	9.71	31.27	0.925
asm_Beng-san_Deva	5.55	23.19	1.054
zho_Hant-szl_Latn	13.77	32.21	1.083
bjn_Arab-mya_Mymr	7.09	19.27	0.985
slk_Latn-fin_Latn	26.28	47.18	0.950
tir_Ethi-spa_Latn	17.24	39.63	0.898
ind_Latn-tgl_Latn	28.78	53.74	0.952
jav_Latn-nso_Latn	21.21	44.80	1.012
tam_Taml-bos_Latn	23.30	44.34	0.962
tsn_Latn-ckb_Arab	14.21	34.45	1.007
yue_Hant-ckb_Arab	14.60	34.76	1.001
fao_Latn-urd_Arab	18.76	36.84	0.997
tpi_Latn-oci_Latn	21.21	39.66	0.935
ssw_Latn-bho_Deva	11.49	27.52	0.937
pbt_Arab-ibo_Latn	14.28	35.02	1.002
knc_Latn-afr_Latn	11.14	31.93	1.044
aka_Latn-kan_Knda	18.17	33.12	0.971
dzo_Tibt-srd_Latn	12.79	33.90	0.978
oci_Latn-fin_Latn	28.64	49.84	0.998
lin_Latn-ilo_Latn	17.65	42.85	0.940
taq_Latn-kbp_Latn	4.41	19.59	1.169
tum_Latn-cat_Latn	18.79	37.53	0.984
rus_Cyrl-ydd_Hebr	9.93	30.80	1.045
tha_Thai-afr_Latn	23.76	47.23	0.978
pbt_Arab-bjn_Latn	13.92	39.97	0.996
isl_Latn-yue_Hant	8.78	12.29	0.911
arb_Arab-awa_Deva	14.50	33.11	1.031
epo_Latn-kab_Latn	11.34	30.43	1.067
mri_Latn-heb_Hebr	18.77	35.10	1.022
nld_Latn-ell_Grek	26.99	41.83	0.905
kas_Deva-nld_Latn	14.90	36.82	1.018
lvs_Latn-lin_Latn	14.61	43.59	1.092
glg_Latn-ilo_Latn	22.06	48.57	1.017
kmr_Latn-khm_Khmr	12.30	26.47	0.898
hrv_Latn-slv_Latn	29.29	49.52	0.960
acm_Arab-tel_Telu	24.16	41.41	1.030
kbp_Latn-tgk_Cyrl	11.50	27.90	0.890
urd_Arab-afr_Latn	26.92	50.37	0.973
lim_Latn-azb_Arab	3.80	21.64	1.167
vie_Latn-tat_Cyrl	23.63	41.70	0.961
zho_Hans-bul_Cyrl	27.94	47.48	1.002
tgk_Cyrl-pap_Latn	23.56	45.57	0.989
epo_Latn-nob_Latn	29.53	51.72	0.970
oci_Latn-hne_Deva	22.93	44.02	1.005
min_Latn-snd_Arab	18.96	36.14	0.982
min_Latn-kik_Latn	11.01	31.81	0.941
zho_Hans-wol_Latn	4.98	23.06	1.206
rus_Cyrl-mkd_Cyrl	30.24	50.91	0.986
dyu_Latn-ban_Latn	4.52	23.87	1.028
dan_Latn-asm_Beng	19.35	33.40	1.011
rus_Cyrl-mos_Latn	4.17	22.38	1.120
hrv_Latn-fra_Latn	40.01	57.69	0.961
slv_Latn-kas_Arab	12.25	26.49	1.001
fon_Latn-ssw_Latn	6.55	26.69	0.965
ast_Latn-heb_Hebr	30.47	45.69	0.964
ban_Latn-sin_Sinh	26.22	34.72	0.945
ltg_Latn-knc_Arab	4.22	9.58	1.186
dik_Latn-mal_Mlym	9.93	21.08	0.910
kan_Knda-hun_Latn	24.19	43.72	0.977
slk_Latn-hne_Deva	20.58	41.14	0.989
kor_Hang-grn_Latn	10.35	29.75	1.027
sna_Latn-guj_Gujr	19.61	34.56	0.953
bug_Latn-kin_Latn	11.52	32.98	1.010
bod_Tibt-sna_Latn	7.47	29.68	0.986
kac_Latn-shn_Mymr	8.11	26.51	0.956
lus_Latn-quy_Latn	3.53	24.49	1.112
azb_Arab-aeb_Arab	8.43	24.02	1.188
ell_Grek-sin_Sinh	28.15	37.16	0.952
mai_Deva-sat_Beng	19.28	27.28	0.948
grn_Latn-hun_Latn	17.60	35.98	0.954
sot_Latn-bam_Latn	7.42	27.03	1.018
lmo_Latn-knc_Arab	4.39	9.72	1.182
mya_Mymr-lua_Latn	5.21	29.99	1.121
arz_Arab-heb_Hebr	26.61	43.04	1.008
kor_Hang-zho_Hant	13.53	14.12	0.746
yue_Hant-yor_Latn	6.99	19.95	1.011
prs_Arab-shn_Mymr	11.78	31.18	0.945
tsn_Latn-yor_Latn	5.19	21.14	1.237
uig_Arab-pol_Latn	18.61	36.72	0.917
acq_Arab-cat_Latn	30.49	51.66	1.008
azj_Latn-bug_Latn	5.35	28.27	1.090
pan_Guru-kab_Latn	10.22	29.45	1.089
kas_Deva-jav_Latn	10.40	34.82	1.086
hat_Latn-fur_Latn	29.22	48.55	0.970
lim_Latn-grn_Latn	12.85	32.93	0.987
apc_Arab-quy_Latn	3.73	27.16	1.099
tat_Cyrl-ben_Beng	24.09	38.92	0.996
pes_Arab-pbt_Arab	17.59	34.48	1.024
hun_Latn-tha_Thai	26.80	35.65	0.900
tur_Latn-arb_Arab	28.90	44.52	0.965
fra_Latn-tam_Taml	28.26	46.85	0.980
pes_Arab-hrv_Latn	26.08	47.09	0.980
lim_Latn-zho_Hant	11.29	12.95	0.715
mos_Latn-umb_Latn	2.00	20.61	0.863
ace_Latn-ars_Arab	16.89	31.46	1.049
rus_Cyrl-fij_Latn	18.72	43.47	0.981
ilo_Latn-vie_Latn	30.75	48.58	0.957
knc_Arab-ory_Orya	2.71	11.36	1.219
sat_Beng-vie_Latn	14.44	31.71	0.977
dan_Latn-plt_Latn	21.53	47.52	1.021
ben_Beng-tzm_Tfng	15.93	26.75	1.009
nso_Latn-bam_Latn	7.24	26.65	0.976
sin_Sinh-glg_Latn	25.90	48.21	0.916
kor_Hang-azb_Arab	3.08	19.52	1.142
kin_Latn-kas_Deva	3.19	14.17	0.928
tgk_Cyrl-ita_Latn	26.39	47.84	0.953
hne_Deva-ceb_Latn	27.11	52.33	1.017
heb_Hebr-sot_Latn	15.54	41.55	0.980
bho_Deva-nya_Latn	13.44	39.95	1.006
kmr_Latn-kac_Latn	9.87	32.31	1.019
mar_Deva-war_Latn	22.52	47.89	0.980
ewe_Latn-kmb_Latn	3.26	21.80	0.864
eng_Latn-kan_Knda	38.21	52.72	0.978
acq_Arab-dzo_Tibt	8.58	31.27	1.081
snd_Arab-ceb_Latn	25.46	50.54	0.987
zul_Latn-tzm_Tfng	15.81	26.93	1.018
bel_Cyrl-bam_Latn	5.42	26.11	1.079
gla_Latn-aeb_Arab	8.57	24.71	1.302
tum_Latn-als_Latn	15.31	35.11	0.934
kon_Latn-ind_Latn	19.32	41.96	0.947
guj_Gujr-cat_Latn	32.69	52.92	0.982
fuv_Latn-hat_Latn	7.59	27.16	1.085
dzo_Tibt-ban_Latn	6.16	29.72	1.053
slk_Latn-tgk_Cyrl	28.13	44.83	0.926
spa_Latn-kon_Latn	15.00	42.48	1.052
fuv_Latn-lus_Latn	6.42	24.55	1.097
ars_Arab-ben_Beng	21.69	37.30	1.010
kmb_Latn-fin_Latn	8.98	27.67	0.879
tam_Taml-shn_Mymr	11.49	30.27	0.964
taq_Tfng-als_Latn	5.47	22.60	0.924
ita_Latn-cat_Latn	34.14	54.43	1.020
azj_Latn-gle_Latn	19.76	41.14	1.030
hne_Deva-afr_Latn	33.22	55.75	0.985
srd_Latn-bod_Tibt	5.01	26.26	1.093
kas_Arab-ssw_Latn	10.61	35.40	1.030
kin_Latn-mai_Deva	12.50	30.54	0.989
knc_Arab-lvs_Latn	1.66	14.13	1.124
zho_Hant-est_Latn	17.53	40.45	1.020
npi_Deva-xho_Latn	18.51	42.58	1.024
snd_Arab-afr_Latn	28.29	51.47	0.970
als_Latn-npi_Deva	23.28	41.93	1.011
jpn_Jpan-tir_Ethi	11.71	19.98	1.026
kor_Hang-aka_Latn	7.86	28.87	0.934
bos_Latn-kir_Cyrl	21.43	39.05	0.997
uzn_Latn-fon_Latn	4.12	17.70	1.146
fij_Latn-cym_Latn	19.16	36.27	0.975
ayr_Latn-kmr_Latn	6.97	22.70	0.951
arb_Arab-shn_Mymr	11.94	31.35	0.945
mni_Beng-uig_Arab	17.49	33.58	1.041
kbp_Latn-hne_Deva	9.21	23.46	1.033
tel_Telu-tgl_Latn	25.73	51.32	0.940
gaz_Latn-khk_Cyrl	13.31	30.35	0.975
awa_Deva-tam_Taml	29.56	47.37	0.976
ron_Latn-yor_Latn	9.60	25.05	1.166
vec_Latn-kmr_Latn	15.12	35.01	0.964
heb_Hebr-ltg_Latn	22.56	42.10	1.006
tso_Latn-taq_Latn	4.66	22.27	0.903
sot_Latn-apc_Arab	20.30	35.99	1.002
oci_Latn-tgk_Cyrl	30.13	46.78	0.956
bho_Deva-oci_Latn	23.74	44.04	0.945
ukr_Cyrl-sun_Latn	16.21	41.03	1.021
epo_Latn-lug_Latn	10.16	36.17	1.096
som_Latn-umb_Latn	3.06	24.40	0.897
sot_Latn-gaz_Latn	8.24	32.21	1.035
hat_Latn-kan_Knda	26.67	42.67	0.953
scn_Latn-som_Latn	13.24	36.80	1.005
epo_Latn-kam_Latn	3.96	23.00	1.101
ita_Latn-dzo_Tibt	9.13	31.02	1.049
guj_Gujr-dzo_Tibt	9.19	31.40	1.081
nno_Latn-tgl_Latn	25.97	51.67	0.962
acm_Arab-mal_Mlym	23.64	39.36	1.008
aeb_Arab-hrv_Latn	23.18	44.48	0.996
crh_Latn-ckb_Arab	16.09	37.87	1.042
ceb_Latn-kir_Cyrl	20.85	38.31	0.982
swh_Latn-bho_Deva	16.24	34.72	0.952
pol_Latn-tam_Taml	24.01	42.40	0.963
aeb_Arab-pbt_Arab	13.59	31.05	1.044
ayr_Latn-ron_Latn	11.06	27.56	0.893
vec_Latn-ron_Latn	35.32	53.58	0.932
hau_Latn-khk_Cyrl	15.53	32.39	0.962
tuk_Latn-nno_Latn	14.42	36.10	0.968
arz_Arab-eus_Latn	15.94	38.27	0.940
wol_Latn-fuv_Latn	2.33	16.86	1.351
zsm_Latn-kir_Cyrl	20.60	38.29	0.975
mai_Deva-pes_Arab	26.25	43.67	0.971
nso_Latn-apc_Arab	19.44	35.03	0.991
tha_Thai-war_Latn	20.19	45.70	1.005
nld_Latn-tso_Latn	17.65	42.83	1.043
dik_Latn-tel_Telu	10.46	21.81	1.006
khk_Cyrl-ace_Latn	6.02	29.70	1.071
urd_Arab-ceb_Latn	24.23	49.63	0.986
cat_Latn-kea_Latn	24.33	46.08	0.982
mlt_Latn-ajp_Arab	27.64	44.30	1.016
bod_Tibt-hau_Latn	9.44	32.20	1.051
eng_Latn-fur_Latn	38.96	57.05	0.978
nso_Latn-gaz_Latn	7.17	30.70	1.014
kin_Latn-tur_Latn	22.64	41.72	0.949
ces_Latn-dyu_Latn	1.72	15.21	0.822
kik_Latn-tha_Thai	17.74	27.32	0.892
est_Latn-lin_Latn	16.22	44.78	1.071
afr_Latn-som_Latn	14.01	38.16	1.017
lim_Latn-aka_Latn	9.66	31.35	0.909
bel_Cyrl-apc_Arab	17.88	34.67	1.039
knc_Latn-war_Latn	10.70	34.54	1.103
bel_Cyrl-gaz_Latn	6.90	30.88	1.054
ast_Latn-eus_Latn	22.72	44.12	0.891
tur_Latn-tsn_Latn	19.36	43.99	1.021
yor_Latn-shn_Mymr	8.88	27.55	0.876
tur_Latn-ars_Arab	25.50	41.10	0.927
slv_Latn-fao_Latn	21.06	40.98	0.987
bel_Cyrl-nso_Latn	14.28	40.21	1.071
hat_Latn-shn_Mymr	11.56	30.62	0.906
heb_Hebr-pap_Latn	26.43	48.86	0.975
guj_Gujr-isl_Latn	22.95	41.53	0.968
gle_Latn-azj_Latn	18.48	37.51	0.908
tpi_Latn-aka_Latn	9.39	30.20	0.911
kir_Cyrl-hin_Deva	21.45	39.39	0.927
oci_Latn-lua_Latn	8.38	34.82	1.146
bos_Latn-ind_Latn	35.22	59.20	0.978
ita_Latn-isl_Latn	23.79	41.89	0.997
lit_Latn-zul_Latn	19.71	43.02	0.971
luo_Latn-srp_Cyrl	15.33	33.78	0.918
afr_Latn-quy_Latn	4.22	26.01	1.090
ace_Latn-arb_Arab	19.61	34.59	1.007
mni_Beng-knc_Latn	3.94	21.94	1.170
slv_Latn-min_Latn	17.29	42.42	1.017
mal_Mlym-eus_Latn	13.81	34.49	0.837
spa_Latn-ilo_Latn	20.51	46.51	1.009
scn_Latn-quy_Latn	4.43	27.29	1.150
bod_Tibt-swe_Latn	12.10	32.21	0.971
nus_Latn-tel_Telu	12.53	26.88	1.011
hye_Armn-als_Latn	28.85	50.05	0.962
hne_Deva-ces_Latn	29.52	47.49	0.988
mya_Mymr-hne_Deva	15.49	34.68	0.992
fon_Latn-tgl_Latn	9.87	32.83	0.929
bjn_Arab-ron_Latn	11.05	30.30	1.019
bak_Cyrl-ban_Latn	10.22	36.32	1.058
lug_Latn-nno_Latn	10.96	30.11	0.870
ltz_Latn-oci_Latn	33.39	52.85	0.944
yor_Latn-kan_Knda	16.74	32.85	0.912
slk_Latn-lua_Latn	7.66	32.98	1.084
ces_Latn-tpi_Latn	15.48	40.35	0.841
szl_Latn-gle_Latn	24.91	45.13	0.988
jav_Latn-lit_Latn	21.65	43.07	0.964
snd_Arab-ces_Latn	26.24	44.12	0.965
aka_Latn-bos_Latn	15.07	34.39	0.976
sot_Latn-nso_Latn	21.72	46.30	1.034
bug_Latn-gla_Latn	12.68	33.78	0.981
khk_Cyrl-tzm_Tfng	14.18	25.61	1.046
tam_Taml-kan_Knda	29.27	45.39	0.968
sna_Latn-dan_Latn	22.15	42.33	0.952
lin_Latn-lus_Latn	10.99	32.02	0.934
ltg_Latn-tso_Latn	14.36	39.52	1.051
jpn_Jpan-kmb_Latn	2.24	21.22	0.870
lin_Latn-hat_Latn	17.74	38.99	0.987
ace_Arab-tat_Cyrl	7.23	22.83	1.069
mos_Latn-kbp_Latn	5.91	21.32	1.044
srd_Latn-kaz_Cyrl	24.60	43.93	0.966
npi_Deva-ydd_Hebr	11.20	31.62	0.960
acq_Arab-bjn_Arab	5.53	18.71	1.104
lao_Laoo-spa_Latn	22.20	44.51	0.920
bem_Latn-lit_Latn	15.86	36.13	0.972
lmo_Latn-tso_Latn	16.99	41.46	1.041
bjn_Arab-kmr_Latn	5.72	23.41	1.149
tgk_Cyrl-sot_Latn	14.30	39.64	0.991
ron_Latn-mri_Latn	19.55	42.69	0.972
arb_Arab-kan_Knda	28.92	45.33	0.989
mkd_Cyrl-bel_Cyrl	23.08	38.39	0.878
min_Latn-ajp_Arab	19.60	36.71	1.039
heb_Hebr-ita_Latn	28.57	50.03	0.939
kac_Latn-fur_Latn	12.81	31.26	0.981
aka_Latn-awa_Deva	9.16	23.87	1.130
kin_Latn-zsm_Latn	26.07	50.21	0.985
deu_Latn-lao_Laoo	24.55	40.39	0.951
zsm_Latn-ind_Latn	39.25	62.00	0.972
mni_Beng-acq_Arab	15.44	30.89	0.955
als_Latn-aeb_Arab	10.46	27.98	1.353
ceb_Latn-ind_Latn	35.84	58.40	1.000
luo_Latn-pag_Latn	13.10	35.92	1.035
prs_Arab-fur_Latn	26.53	46.47	0.993
lug_Latn-tuk_Latn	9.32	26.87	0.814
mai_Deva-uzn_Latn	24.74	44.52	0.984
plt_Latn-mkd_Cyrl	24.77	45.36	0.928
plt_Latn-mos_Latn	4.66	22.15	1.081
nld_Latn-knc_Arab	4.36	9.51	1.162
mya_Mymr-tgk_Cyrl	20.86	38.31	0.906
mlt_Latn-snd_Arab	25.83	42.80	1.011
mlt_Latn-kik_Latn	13.33	34.85	0.934
lua_Latn-als_Latn	14.46	33.64	0.890
tel_Telu-ssw_Latn	14.68	38.73	1.026
gla_Latn-npi_Deva	18.64	36.68	1.004
kat_Geor-pan_Guru	24.03	37.97	0.985
glg_Latn-kon_Latn	16.11	42.95	1.041
mkd_Cyrl-jpn_Jpan	14.39	21.18	0.924
kas_Arab-tgl_Latn	20.92	47.00	0.938
umb_Latn-pan_Guru	8.85	20.14	0.813
war_Latn-nld_Latn	26.35	47.56	0.982
apc_Arab-som_Latn	10.43	36.53	1.032
ckb_Arab-lao_Laoo	21.03	37.78	0.907
tzm_Tfng-zho_Hans	9.78	10.31	0.922
tgk_Cyrl-ltg_Latn	20.47	40.46	1.021
xho_Latn-fij_Latn	19.53	43.14	0.938
urd_Arab-ces_Latn	26.20	44.09	0.974
isl_Latn-lin_Latn	14.81	42.57	1.067
eng_Latn-shn_Mymr	14.53	34.07	0.908
ltg_Latn-ell_Grek	26.67	42.50	0.948
tpi_Latn-zho_Hant	9.57	11.35	0.710
ace_Latn-tsn_Latn	14.76	37.29	0.976
bel_Cyrl-lij_Latn	14.87	34.66	1.054
cjk_Latn-jav_Latn	6.59	26.12	1.032
kbp_Latn-lua_Latn	5.61	28.34	1.062
sot_Latn-rus_Cyrl	26.81	43.99	0.958
epo_Latn-kat_Geor	30.19	45.57	0.937
kir_Cyrl-eng_Latn	27.31	49.59	0.957
ewe_Latn-tir_Ethi	8.64	15.85	0.931
som_Latn-kbp_Latn	8.28	25.61	1.083
lmo_Latn-ell_Grek	27.66	42.55	0.934
yor_Latn-fur_Latn	15.98	34.42	0.913
nso_Latn-lij_Latn	18.36	35.14	1.012
sot_Latn-vec_Latn	14.00	37.45	0.963
acq_Arab-isl_Latn	20.81	39.83	0.979
fij_Latn-arz_Arab	7.36	21.92	1.402
cym_Latn-zho_Hans	23.65	20.52	0.899
tpi_Latn-grn_Latn	9.71	28.99	1.035
bul_Cyrl-run_Latn	15.03	38.79	1.078
kea_Latn-bho_Deva	15.78	34.09	0.965
plt_Latn-fij_Latn	19.60	43.49	0.956
lus_Latn-som_Latn	8.71	30.44	1.000
azb_Arab-npi_Deva	12.76	30.61	1.017
tam_Taml-fur_Latn	23.81	43.94	0.969
kmb_Latn-swh_Latn	11.59	33.27	0.957
mai_Deva-dik_Latn	3.84	20.39	1.373
amh_Ethi-zul_Latn	21.05	44.41	0.956
zul_Latn-ace_Latn	6.96	30.21	1.034
kon_Latn-kir_Cyrl	12.84	28.79	0.896
shn_Mymr-zho_Hans	16.03	15.59	0.932
nso_Latn-rus_Cyrl	25.08	42.28	0.930
srp_Cyrl-bul_Cyrl	39.06	56.67	0.978
arb_Arab-fur_Latn	28.71	48.52	0.996
guj_Gujr-bjn_Arab	5.23	17.94	1.146
hrv_Latn-hye_Armn	30.47	45.29	0.948
war_Latn-jav_Latn	20.06	44.27	1.013
taq_Latn-hun_Latn	9.00	24.93	1.016
xho_Latn-mkd_Cyrl	24.70	45.15	0.914
ltz_Latn-nya_Latn	15.53	41.78	0.991
kac_Latn-kan_Knda	15.60	30.82	0.992
nso_Latn-vec_Latn	13.23	36.24	0.941
sot_Latn-lij_Latn	18.94	37.02	1.038
xho_Latn-mos_Latn	4.91	22.05	1.057
nus_Latn-mal_Mlym	11.91	26.31	0.953
pag_Latn-pbt_Arab	12.55	27.28	0.953
fao_Latn-twi_Latn	10.41	31.94	0.958
ita_Latn-bjn_Arab	6.16	19.22	1.132
tpi_Latn-azb_Arab	2.74	17.78	1.156
yue_Hant-mri_Latn	14.46	37.84	0.938
tsn_Latn-mri_Latn	16.30	38.45	0.948
szl_Latn-bug_Latn	7.02	30.78	1.027
kab_Latn-khk_Cyrl	10.92	28.85	1.019
pag_Latn-hrv_Latn	18.73	38.31	0.889
dan_Latn-crh_Latn	21.12	41.20	0.956
cjk_Latn-nld_Latn	8.52	27.51	0.938
bel_Cyrl-rus_Cyrl	25.75	45.05	1.024
srp_Cyrl-wol_Latn	5.80	24.18	1.131
mal_Mlym-heb_Hebr	27.43	43.33	0.984
prs_Arab-kan_Knda	27.43	44.11	0.978
bel_Cyrl-vec_Latn	10.11	34.89	0.992
mkd_Cyrl-lim_Latn	14.75	38.16	0.955
ben_Beng-ace_Latn	7.25	31.98	1.052
nno_Latn-ssw_Latn	14.27	38.53	1.038
kon_Latn-slk_Latn	14.86	32.44	0.918
xho_Latn-ydd_Hebr	9.64	29.47	0.969
mai_Deva-mni_Beng	23.22	34.80	1.010
fin_Latn-tzm_Tfng	15.54	27.00	1.046
mai_Deva-scn_Latn	11.00	33.72	0.963
khm_Khmr-heb_Hebr	22.45	38.94	1.008
pan_Guru-kat_Geor	27.13	43.09	0.953
kab_Latn-jav_Latn	11.91	36.43	1.026
kbp_Latn-swh_Latn	11.45	33.79	0.981
ukr_Cyrl-lao_Laoo	23.00	39.33	0.945
lus_Latn-knc_Latn	4.34	21.13	1.117
jav_Latn-apc_Arab	20.86	36.78	0.988
uig_Arab-tum_Latn	9.49	32.20	0.818
sna_Latn-lim_Latn	10.34	30.92	0.923
apc_Arab-acq_Arab	29.59	44.91	0.935
lim_Latn-oci_Latn	27.63	47.71	0.902
war_Latn-khk_Cyrl	17.98	35.01	0.970
ory_Orya-fuv_Latn	3.19	19.82	1.162
lua_Latn-cat_Latn	18.06	36.02	0.939
jav_Latn-gaz_Latn	9.19	32.77	1.003
tgk_Cyrl-mar_Deva	19.99	38.64	0.990
dzo_Tibt-taq_Tfng	4.42	15.74	0.925
